iter	Passed	Remaining
0	181	90812
1	362	90383
2	544	90247
3	731	90659
4	920	91119
5	1106	91104
6	1294	91161
7	1469	90360
8	1657	90447
9	1830	89678
10	2004	89104
11	2179	88649
12	2358	88356
13	2544	88318
14	2734	88426
15	2922	88396
16	3096	87965
17	3277	87770
18	3467	87778
19	3655	87734
20	3836	87497
21	4041	87818
22	4204	87198
23	4399	87249
24	4577	86974
25	4770	86976
26	4952	86757
27	5121	86340
28	5300	86079
29	5490	86012
30	5686	86026
31	5875	85926
32	6045	85546
33	6225	85325
34	6411	85187
35	6597	85031
36	6780	84850
37	6970	84741
38	7158	84617
39	7327	84267
40	7510	84086
41	7678	83735
42	7835	83270
43	8018	83100
44	8184	82751
45	8352	82431
46	8513	82054
47	8693	81864
48	8858	81538
49	9022	81206
50	9181	80836
51	9360	80645
52	9530	80381
53	9696	80085
54	9853	79723
55	10007	79344
56	10172	79056
57	10325	78689
58	10482	78352
59	10641	78039
60	10796	77702
61	10954	77388
62	11110	77066
63	11282	76864
64	11448	76613
65	11607	76324
66	11748	75928
67	11907	75649
68	12058	75321
69	12218	75055
70	12365	74712
71	12512	74382
72	12663	74070
73	12815	73775
74	12969	73495
75	13121	73201
76	13260	72846
77	13407	72539
78	13557	72251
79	13722	72041
80	13871	71756
81	14019	71467
82	14163	71158
83	14306	70850
84	14462	70611
85	14615	70356
86	14761	70073
87	14906	69791
88	15057	69533
89	15204	69264
90	15347	68977
91	15491	68701
92	15642	68458
93	15787	68190
94	15931	67919
95	16094	67729
96	16240	67471
97	16387	67222
98	16528	66950
99	16686	66747
100	16840	66530
101	16983	66267
102	17128	66018
103	17284	65812
104	17426	65556
105	17565	65288
106	17723	65097
107	17863	64836
108	18003	64579
109	18144	64331
110	18283	64076
111	18426	63834
112	18571	63604
113	18715	63370
114	18856	63129
115	18994	62877
116	19136	62642
117	19275	62401
118	19416	62166
119	19557	61931
120	19694	61688
121	19837	61464
122	19980	61239
123	20117	61002
124	20263	60790
125	20400	60553
126	20558	60380
127	20712	60196
128	20869	60019
129	21010	59799
130	21153	59584
131	21294	59366
132	21436	59151
133	21587	58962
134	21727	58745
135	21869	58533
136	22009	58318
137	22149	58101
138	22289	57888
139	22428	57674
140	22570	57467
141	22709	57254
142	22853	57052
143	22991	56840
144	23138	56648
145	23279	56445
146	23426	56256
147	23570	56059
148	23720	55879
149	23859	55671
150	23998	55466
151	24145	55281
152	24287	55083
153	24429	54886
154	24576	54703
155	24722	54516
156	24863	54319
157	25007	54130
158	25149	53936
159	25299	53762
160	25439	53565
161	25587	53386
162	25724	53185
163	25865	52992
164	26006	52801
165	26154	52623
166	26297	52437
167	26436	52242
168	26575	52049
169	26722	51873
170	26863	51685
171	27001	51492
172	27140	51300
173	27281	51112
174	27421	50926
175	27561	50738
176	27704	50556
177	27846	50373
178	27988	50190
179	28127	50004
180	28271	49827
181	28410	49639
182	28548	49452
183	28685	49263
184	28825	49081
185	28966	48900
186	29104	48715
187	29252	48546
188	29393	48367
189	29535	48189
190	29671	48003
191	29814	47828
192	29953	47646
193	30096	47472
194	30235	47290
195	30375	47112
196	30522	46945
197	30663	46770
198	30804	46593
199	30945	46417
200	31098	46261
201	31252	46105
202	31396	45935
203	31545	45771
204	31686	45597
205	31828	45425
206	31975	45259
207	32129	45104
208	32289	44957
209	32435	44791
210	32577	44619
211	32721	44451
212	32877	44299
213	33021	44131
214	33167	43966
215	33313	43801
216	33453	43627
217	33592	43454
218	33756	43313
219	33897	43142
220	34041	42975
221	34184	42807
222	34329	42642
223	34474	42477
224	34618	42311
225	34756	42138
226	34894	41965
227	35057	41822
228	35200	41655
229	35338	41483
230	35476	41312
231	35621	41149
232	35766	40985
233	35908	40818
234	36047	40649
235	36189	40482
236	36339	40325
237	36487	40166
238	36626	39998
239	36767	39831
240	36910	39667
241	37057	39507
242	37196	39339
243	37342	39179
244	37483	39013
245	37632	38855
246	37772	38690
247	37913	38524
248	38061	38367
249	38201	38201
250	38354	38049
251	38497	37886
252	38637	37721
253	38784	37562
254	38928	37402
255	39070	37238
256	39241	37103
257	39380	36938
258	39524	36777
259	39668	36616
260	39805	36450
261	39960	36299
262	40097	36133
263	40238	35970
264	40388	35816
265	40535	35658
266	40676	35496
267	40814	35332
268	40955	35169
269	41094	35006
270	41234	34843
271	41374	34681
272	41514	34519
273	41663	34365
274	41806	34205
275	41957	34052
276	42099	33892
277	42242	33732
278	42385	33574
279	42533	33419
280	42676	33260
281	42821	33103
282	42964	32944
283	43108	32786
284	43247	32625
285	43395	32470
286	43543	32316
287	43689	32160
288	43829	32000
289	43977	31845
290	44114	31683
291	44253	31523
292	44392	31362
293	44540	31208
294	44685	31052
295	44825	30893
296	44968	30736
297	45108	30577
298	45250	30419
299	45389	30259
300	45526	30098
301	45668	29941
302	45808	29783
303	45949	29625
304	46090	29467
305	46228	29308
306	46371	29151
307	46516	28997
308	46668	28847
309	46808	28688
310	46946	28530
311	47094	28377
312	47235	28220
313	47376	28063
314	47513	27904
315	47655	27748
316	47807	27598
317	47947	27441
318	48091	27286
319	48230	27129
320	48387	26982
321	48531	26827
322	48679	26675
323	48822	26520
324	48976	26372
325	49130	26223
326	49273	26068
327	49413	25911
328	49564	25761
329	49703	25605
330	49845	25449
331	49985	25293
332	50130	25140
333	50270	24984
334	50417	24832
335	50555	24676
336	50707	24526
337	50846	24370
338	50990	24216
339	51142	24067
340	51294	23917
341	51435	23762
342	51574	23607
343	51711	23450
344	51855	23297
345	51992	23141
346	52131	22985
347	52269	22830
348	52417	22679
349	52562	22526
350	52719	22379
351	52866	22227
352	53011	22075
353	53152	21921
354	53295	21768
355	53441	21616
356	53579	21461
357	53717	21306
358	53863	21155
359	54004	21001
360	54151	20850
361	54292	20697
362	54435	20544
363	54585	20394
364	54734	20244
365	54879	20092
366	55016	19937
367	55160	19785
368	55318	19638
369	55460	19486
370	55602	19333
371	55746	19181
372	55884	19027
373	56024	18874
374	56166	18722
375	56311	18570
376	56468	18423
377	56626	18276
378	56769	18124
379	56914	17973
380	57054	17820
381	57195	17667
382	57345	17518
383	57484	17365
384	57625	17212
385	57766	17060
386	57906	16908
387	58059	16759
388	58214	16611
389	58353	16458
390	58492	16306
391	58643	16156
392	58786	16005
393	58925	15853
394	59066	15701
395	59207	15549
396	59350	15398
397	59489	15246
398	59641	15097
399	59783	14945
400	59933	14796
401	60090	14649
402	60236	14498
403	60379	14347
404	60525	14197
405	60671	14047
406	60825	13898
407	60965	13747
408	61104	13595
409	61246	13444
410	61400	13295
411	61549	13146
412	61691	12995
413	61837	12845
414	61978	12694
415	62130	12545
416	62277	12395
417	62415	12244
418	62573	12096
419	62725	11947
420	62871	11797
421	63017	11647
422	63156	11496
423	63294	11345
424	63431	11193
425	63570	11042
426	63710	10891
427	63853	10741
428	64001	10592
429	64148	10442
430	64287	10292
431	64436	10142
432	64586	9993
433	64727	9843
434	64870	9693
435	65012	9543
436	65158	9393
437	65302	9243
438	65444	9093
439	65585	8943
440	65726	8793
441	65871	8643
442	66019	8494
443	66164	8345
444	66316	8196
445	66462	8047
446	66607	7897
447	66748	7747
448	66892	7598
449	67044	7449
450	67187	7299
451	67327	7149
452	67467	6999
453	67606	6850
454	67753	6700
455	67914	6553
456	68071	6405
457	68214	6255
458	68362	6106
459	68504	5956
460	68645	5807
461	68791	5658
462	68928	5508
463	69078	5359
464	69226	5210
465	69364	5060
466	69505	4911
467	69644	4761
468	69794	4613
469	69955	4465
470	70103	4316
471	70247	4167
472	70387	4017
473	70528	3868
474	70680	3720
475	70826	3571
476	70974	3422
477	71117	3273
478	71260	3124
479	71399	2974
480	71541	2825
481	71682	2676
482	71824	2527
483	71975	2379
484	72134	2230
485	72279	2082
486	72434	1933
487	72574	1784
488	72717	1635
489	72857	1486
